group_col,group_value,count,error_rate,f1_weighted,recall_positive,auc_pr
age_band,"[45, 55)",839,0.20143027413587605,0.7999570037593684,0.8628571428571429,0.8699159107048678
age_band,"[55, 65)",539,0.19480519480519481,0.8125143998596545,0.82,0.8140152790840511
age_band,"[35, 45)",1238,0.1938610662358643,0.809442257251387,0.7975903614457831,0.8354705389777075
age_band,"[65, 90)",210,0.16666666666666666,0.8252853380158034,0.5208333333333334,0.7798461624410826
age_band,"[25, 35)",1230,0.1073170731707317,0.8928950067509224,0.6782178217821783,0.7695717322180063
age_band,"[16, 25)",825,0.009696969696969697,0.9885026519787842,0.36363636363636365,0.5650745937471726
hours_band,"[60, 100)",382,0.22251308900523561,0.7790477426891114,0.8238993710691824,0.8517891122761304
hours_band,"[45, 60)",983,0.1861648016276704,0.8163224035765119,0.8478260869565217,0.8718343356062261
hours_band,"[35, 45)",2699,0.13819933308632826,0.8652996116555668,0.7623089983022071,0.8066370300513267
hours_band,"[0, 20)",256,0.0859375,0.9123787087143124,0.5,0.6276817124382481
hours_band,"[20, 35)",565,0.04601769911504425,0.9504866347838825,0.5,0.713162039751114
race,Asian-Pac-Islander,157,0.19745222929936307,0.8061456544865037,0.7446808510638298,0.8271118526462523
race,White,4184,0.14818355640535372,0.8552094761683924,0.7867924528301887,0.8285318737280936
race,Black,456,0.07894736842105263,0.9226620875095878,0.7457627118644068,0.8211662053796187
race,Amer-Indian-Eskimo,54,0.018518518518518517,0.9820962663067926,1.0,0.9150793650793649
relationship,Wife,239,0.3179916317991632,0.6763797992437574,0.8392857142857143,0.8104554731447307
relationship,Husband,1998,0.24774774774774774,0.7527583042494396,0.8365714285714285,0.8508245696242108
relationship,Not-in-family,1260,0.06111111111111111,0.9338632452762504,0.5433070866141733,0.7173967891231307
relationship,Unmarried,508,0.045275590551181105,0.9473516536475887,0.43243243243243246,0.5959709656226377
relationship,Other-relative,144,0.034722222222222224,0.9663715913715912,0.7142857142857143,0.857142857142857
relationship,Own-child,736,0.017663043478260868,0.9785182236110693,0.3333333333333333,0.7044335329869182
sex,Male,3255,0.17419354838709677,0.8292004948118215,0.7991967871485943,0.8405095107621812
sex,Female,1630,0.07484662576687116,0.9263727062355716,0.7,0.7570136268430564
workclass,Self-emp-not-inc,388,0.21391752577319587,0.7898033371334406,0.6666666666666666,0.7589860713716637
workclass,Self-emp-inc,155,0.18064516129032257,0.8143458367258006,0.9325842696629213,0.9173985501602471
workclass,Local-gov,298,0.1644295302013423,0.839853591088179,0.8723404255319149,0.8393824526468273
workclass,Federal-gov,164,0.1402439024390244,0.8628047599110469,0.9473684210526315,0.9346855827414282
workclass,Private,3399,0.1312150632538982,0.871284566775198,0.7583892617449665,0.8141362005189632
workclass,State-gov,193,0.12435233160621761,0.8775308888003188,0.8688524590163934,0.9169543535862352
