feature,importance_mean,importance_std
marital.status,0.058367563290955216,0.004210034047866346
capital.gain,0.050769016661296795,0.0028259500419167763
education.num,0.03731592078340714,0.003608880274146117
age,0.030993755828848037,0.003983953119749798
occupation,0.02265196651971031,0.0027772846393594583
hours.per.week,0.01600546248205037,0.002481674411514685
capital.loss,0.013511269065496889,0.0012083139115470853
relationship,0.01008502626693839,0.0017523109734060276
workclass,0.00938635025748975,0.0015380907123148315
fnlwgt,0.003555026971469244,0.001469539644912756
sex,0.0032577261263120106,0.0007419258704676031
native.country,0.002288188009203851,0.0007566521987093617
race,0.0012881732727419437,0.0009132363932087397
education,0.0007578370548540159,0.0005320069575367255
